source: nicole's files,,,,,,,,
date: 10/05/2021,,,,,,,,
information: 4-species cover crop,,,,,,,,
,rye_dry_yield_kg_ha,rye_n_pct,rye_c_pct,clover_dry_yield_kg_ha,clover_n_pct,clover_c_pct,weeds_dry_weight,total_cc_dry_yield_kg_ha
p3_1,196,4.86,35.34,na,na,na,277,196
p3_2,605,4.72,35.93,61,2.75,38.67,20,666
p3_3,292,4.15,31.41,8,2.63,35.55,8,300
p3_4,98,4.76,35.62,na,na,na,0,98
p3_5,367,4.87,35.51,na,na,na,0,367
p3_6,155,4.65,35.96,10,2.25,39.32,0,165
p3_7,79,4.64,33.88,na,na,na,0,79
p3_8,122,5.03,35.52,na,na,na,0,122
p3_9,183,4.99,35.70,5,3.00,36.93,57,188
,0.233,,,0.021,,,,0.242
p4_1,93,5.02,35.85,na,,,7,93
p4_2,90,5.10,35.89,6,2.27,37.99,4,96
p4_3,79,5.05,35.75,na,,,2,79
p4_4,730,4.67,35.45,na,,,0,730
p4_5,179,5.20,36.16,10,1.83,22.79,0,189
p4_6,680,5.01,36.38,na,,,60,680
p4_7,225,5.27,36.28,98,2.82,35.55,26,323
p4_8,94,5.16,36.48,54,2.84,37.17,0,148
p4_9,205,5.32,36.64,94,2.94,35.25,0,299
,0.264,,,0.052,,,,0.293
