"% This file corresponds to ERS3, year 2018",,,,,,
%,,,,,,
% Height and growth stage data,,,,,,
%,,,,,,
% CROP = CORN,,,,,,
"% 'Count' represents the number of locations which were sampled, and is usually an average of 3-10 plants. ",,,,,,
,,,,,,
%,,,,,,
% YYYY,DOY,Plot,Count,Height [cm],,Growth Stage
,,,,Mean,StdDev,
2018,170,1,60,32,3.1,V5
2018,170,2,60,32.2,3.1,V5
2018,170,3,60,31.2,2.7,V5
2018,170,4,60,32.1,3,V5
2018,177,1,36,44.6,4.2,V6
2018,177,2,36,43,6.3,V6
2018,177,3,36,44,5.5,V6
2018,177,4,36,43.1,4.5,V6
2018,184,1,36,77.8,9.8,V7
2018,184,2,36,78.6,6.5,V7
2018,184,3,36,77.4,5.9,V7
2018,184,4,36,78.2,9,V7
2018,190,1,36,131.4,8,V9
2018,190,2,36,124.9,11.2,V9
2018,190,3,36,124.1,14.5,V9
2018,190,4,36,138.3,9.2,V9
2018,194,1,36,158,12.3,V11
2018,194,2,36,157.1,13.5,V11
2018,194,3,36,154.8,13.9,V11
2018,194,4,36,172.8,11.3,V11
2018,199,1,36,194.8,11.5,V13
2018,199,2,36,198.2,11,V13
2018,199,3,36,182.8,16.2,V13
2018,199,4,36,198.9,16.2,V13
2018,206,1,36,227.1,7.5,V14
2018,206,2,36,222.8,8.3,V14
2018,206,3,36,224.9,8.4,V14
2018,206,4,36,224.9,10.9,V14
2018,212,1,36,241.8,13.8,V15
2018,212,2,36,232.2,7.9,V15
2018,212,3,36,224,9.2,V14
2018,212,4,36,234.2,9.8,V15
2018,219,1,36,249.8,9.7,R2
2018,219,2,36,238.5,12.1,R2
2018,219,3,36,236.8,10.2,R2
2018,219,4,36,248.2,10.9,R2
2018,229,1,36,240.9,12.2,R2-R3
2018,229,2,36,232.7,9,R2-R3
2018,229,3,36,237.6,9.4,R2-R3
2018,229,4,36,236.2,11.2,R2-R3
