%E-26 Harvested July 2018,,,,
%CROP: CORN,,,,
"%Harvested by: Gord, Katie & Zack",,,,
%,,,,
%,,,,
%,,,,
%Plot,#Plants,TotalWetWt,SubWetWt,SubDryWt
p3-4,20,9.65,1.3,0.46
p3-5,20,9.67,1.45,0.545
p4-8,18,10.1,1.14,0.759
p2-5,22,10.29,1.84,0.835
p2-3,19,10.83,1.82,0.734
p1-3,18,9.51,1.5,0.673
p4-1,19,9.13,1.62,0.691
p1-1,18,9.75,1.79,0.796
p1-8,19,10.77,1.56,0.658
p1-2,20,10.18,1.46,0.597
p2-2,20,10.71,1.66,0.639
p3-8,21,9.55,1.34,0.465
p2-9,20,11.95,1.83,0.79
p1-9,18,9.96,1.44,0.53
p2-6,19,10.3,1.62,0.696
p2-1,20,10.43,1.57,0.578
p3-9,22,9.72,1.35,0.56
p3-7,22,10.82,1.29,0.504
p4-6,19,9.96,1.71,0.575
p1-4,19,9.91,1.63,0.707
p4-4,17,8.81,1.85,0.867
p1-5,20,9.83,1.9,0.588
p1-6,21,9.65,1.41,0.605
p3-6,20,10.05,1.52,0.633
p3-2,21,9.72,1.16,0.424
p2-4,19,9.15,1.96,0.848
p4-2,20,9.59,1.84,0.671
p2-7,21,11.34,1.4,0.554
p4-5,18,8.81,1.48,0.534
p4-9,19,9.95,1.2,0.538
p1-7,19,10.05,1.9,0.759
p2-8,20,10.38,1.68,0.682
p4-7,19,9.81,1.8,0.69
p3-3,20,10.02,1.41,0.638
p3-1,17,8.55,1.72,0.754
p7-6,20,7.62,1.19,0.413
